port,company,operator_or_owner,month,year,K_PIM_lin_low,K_PIM_lin_central,K_PIM_lin_high,flows_imputed_annual,gap_years_from_prev_annual,K_PIM_real_low,K_PIM_real_central,K_PIM_real_high
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-01-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-02-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-03-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-04-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-05-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-06-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-07-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-08-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-09-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-10-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-11-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2018-12-01,2018,11592601.849288933,11592601.849288933,11592601.849288933,False,0,11592601.849288927,11592601.849288927,11592601.849288927
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-01-01,2019,11645207.675871821,11626288.960748713,11607032.62923482,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-02-01,2019,11698052.221339947,11660073.964078953,11621481.373000441,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-03-01,2019,11745988.86347694,11690673.827709042,11634547.310126519,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-04-01,2019,11799290.741798155,11724645.927966943,11649030.304900745,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-05-01,2019,11851103.49304688,11757616.145699603,11663063.27190162,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-06-01,2019,11904882.368857171,11791782.774619607,11677581.764105517,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-07-01,2019,11957158.791425383,11824941.784104753,11691649.125530206,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-08-01,2019,12011418.933366198,11859304.055583179,11706203.202167058,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-09-01,2019,12065925.301275473,11893766.180889446,11720775.396106651,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-10-01,2019,12118908.891552307,11927211.97217858,11734894.790601576,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-11-01,2019,12173903.03590502,11961871.432094032,11749502.700595673,False,1,,,
Haifa,Israel Ports Company (Haifa cluster),Israel Ports Company (landlord / infrastructure owner),2019-12-01,2019,12227360.775317356,11995508.738331612,11763656.70134583,False,1,12227360.775317367,11995508.738331592,11763656.701345814
