entity	year	annual_total_primary	explicit_annual_observed_pool	alt_service_entry_pool	dated_additions	dated_disposals	annual_undated_event_additions	annual_observed_undated	residual_unexplained	dated_share	annual_observed_undated_share	residual_share	alt_service_entry_pool_share
HPC	2017	25025.0	25025.0	0.0	0.0	0.0	0.0	25025.0	0.0	0.0	1.0	0.0	0.0
HPC	2018	30896.0	30896.0	0.0	0.0	0.0	0.0	30896.0	0.0	0.0	1.0	0.0	0.0
HPC	2019	25025.0	25025.0	0.0	0.0	0.0	0.0	25025.0	0.0	0.0	1.0	0.0	0.0
HPC	2020	49285.0	49285.0	0.0	0.0	0.0	0.0	49285.0	0.0	0.0	1.0	0.0	0.0
HPC	2021	75222.0	75222.0	0.0	0.0	0.0	0.0	75222.0	0.0	0.0	1.0	0.0	0.0
HPC	2023	95529.0	95529.0	102636.0	0.0	0.0	0.0	95529.0	0.0	0.0	1.0	0.0	1.0743962566341112
HPC	2024	61123.0	61123.0	61568.0	0.0	0.0	0.0	61123.0	0.0	0.0	1.0	0.0	1.0072804018127381
IPC	2018	1501921.0	1501921.0	53099.0	0.0	0.0	0.0	1501921.0	0.0	0.0	1.0	0.0	0.0353540565715507
IPC	2019	1100386.0	1100386.0	184353.0	0.0	0.0	0.0	1100386.0	0.0	0.0	1.0	0.0	0.16753484686282813
IPC	2020	560898.0	560898.0	18232.0	0.0	0.0	0.0	560898.0	0.0	0.0	1.0	0.0	0.03250501873780973
IPC	2021	419197.0	419197.0	0.0	0.0	0.0	0.0	419197.0	0.0	0.0	1.0	0.0	0.0
IPC	2022	214152.0	214152.0	4040986.0	0.0	0.0	0.0	214152.0	0.0	0.0	1.0	0.0	18.86970936531062
IPC	2023	449072.0	449072.0	92495.0	0.0	0.0	0.0	449072.0	0.0	0.0	1.0	0.0	0.2059691987031033
IPC	2024	247552.0	247552.0	76066.0	0.0	0.0	0.0	247552.0	0.0	0.0	1.0	0.0	0.30727281540847984
SIPG	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				
SIPG	2020	4482.0	4482.0	4482.0	0.0	0.0	0.0	4482.0	0.0	0.0	1.0	0.0	1.0
SIPG	2021	1339629.0	1339629.0	1339629.0	0.0	0.0	0.0	1339629.0	0.0	0.0	1.0	0.0	1.0
SIPG	2022	469804.0	469804.0	469804.0	0.0	0.0	0.0	469804.0	0.0	0.0	1.0	0.0	1.0
SIPG	2024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				
