port,company,operator_or_owner,month,year,imputed_2022,flows_imputed_annual,gap_years_from_prev_annual,K_PIM_lin_low,K_PIM_lin_central,K_PIM_lin_high,K_PIM_real_low,K_PIM_real_central,K_PIM_real_high,flows_imputed_flag,gap_years_from_prev
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2018-12-01,2018,0,False,0,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,1171216.3579983236,False,0.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-01-01,2019,0,False,1,1169219.4777684116,1167230.0143657841,1165240.5509631569,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-02-01,2019,0,False,1,1167222.5975384994,1163243.6707332449,1159264.7439279903,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-03-01,2019,0,False,1,1165418.9637824497,1159643.1022909512,1153867.2407994526,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-04-01,2019,0,False,1,1163422.0835525377,1155656.7586584117,1147891.4337642859,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-05-01,2019,0,False,1,1161489.618813913,1151799.0067559541,1142108.3946979956,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-06-01,2019,0,False,1,1159492.7385840009,1147812.6631234146,1136132.5876628289,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-07-01,2019,0,False,1,1157560.2738453762,1143954.9112209573,1130349.5485965386,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-08-01,2019,0,False,1,1155563.3936154642,1139968.5675884178,1124373.7415613718,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-09-01,2019,0,False,1,1153566.513385552,1135982.2239558783,1118397.934526205,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-10-01,2019,0,False,1,1151634.0486469273,1132124.4720534207,1112614.8954599148,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-11-01,2019,0,False,1,1149637.1684170153,1128138.1284208815,1106639.088424748,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2019-12-01,2019,0,False,1,1147704.7036783907,1124280.376518424,1100856.0493584578,1147704.7036783907,1124280.376518424,1100856.0493584578,False,1.0
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-01-01,2020,0,False,1,1147896.4235005567,1122646.9387783958,1097476.8151646464,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-02-01,2020,0,False,1,1148088.1433227228,1121013.5010383676,1094097.5809708347,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-03-01,2020,0,False,1,1148267.4941241038,1119485.4463783414,1090936.3618863015,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-04-01,2020,0,False,1,1148459.2139462698,1117852.0086383133,1087557.12769249,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-05-01,2020,0,False,1,1148644.7492580435,1116271.262438286,1084286.9010533176,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-06-01,2020,0,False,1,1148836.4690802095,1114637.824698258,1080907.666859506,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-07-01,2020,0,False,1,1149022.0043919832,1113057.0784982308,1077637.4402203336,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-08-01,2020,0,False,1,1149213.7242141492,1111423.6407582026,1074258.2060265222,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-09-01,2020,0,False,1,1149405.4440363152,1109790.2030181745,1070878.9718327106,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-10-01,2020,0,False,1,1149590.9793480886,1108209.4568181473,1067608.7451935383,,,,,
Haifa,Haifa Port Company (legacy),Haifa Port Company (legacy),2020-11-01,2020,0,False,1,1149782.6991702546,1106576.0190781192,1064229.5109997268,,,,,
